2026-08-03 17:22:19 UTC  OK  misura 2026-08-03 19:21:40 (ora italiana), nuova · vento 0.0 kn, raffica 1.0 kn, dir 316.0° · coda 27 punti di dettaglio + 52 ore · ritardo 1 min
2026-08-03 19:08:03 UTC  OK  misura 2026-08-03 21:07:40 (ora italiana), nuova · vento 2.1 kn, raffica 2.9 kn, dir 314.0° · coda 26 punti di dettaglio + 53 ore · ritardo 0 min
2026-08-03 20:39:45 UTC  OK  misura 2026-08-03 22:39:40 (ora italiana), nuova · vento 2.1 kn, raffica 5.1 kn, dir 27.0° · coda 26 punti di dettaglio + 54 ore · ritardo 0 min
2026-08-03 21:50:01 UTC  OK  misura 2026-08-03 23:49:40 (ora italiana), nuova · vento 2.9 kn, raffica 6.0 kn, dir 21.0° · coda 26 punti di dettaglio + 55 ore · ritardo 0 min
2026-08-03 22:53:55 UTC  OK  misura 2026-08-04 00:53:40 (ora italiana), nuova · vento 0.0 kn, raffica 1.0 kn, dir 19.0° · coda 26 punti di dettaglio + 56 ore · ritardo 0 min
2026-08-04 00:12:50 UTC  OK  misura 2026-08-04 02:12:41 (ora italiana), nuova · vento 4.3 kn, raffica 6.0 kn, dir 23.0° · coda 26 punti di dettaglio + 57 ore · ritardo 0 min
2026-08-04 03:44:05 UTC  OK  misura 2026-08-04 05:43:40 (ora italiana), nuova · vento 8.4 kn, raffica 12.8 kn, dir 346.0° · coda 26 punti di dettaglio + 58 ore · ritardo 0 min
2026-08-04 06:16:50 UTC  OK  misura 2026-08-04 08:16:40 (ora italiana), nuova · vento 7.4 kn, raffica 11.9 kn, dir 36.0° · coda 26 punti di dettaglio + 59 ore · ritardo 0 min
2026-08-04 09:17:00 UTC  OK  misura 2026-08-04 11:16:40 (ora italiana), nuova · vento 2.9 kn, raffica 3.9 kn, dir 195.0° · coda 25 punti di dettaglio + 60 ore · ritardo 0 min
2026-08-04 11:36:46 UTC  OK  misura 2026-08-04 13:36:40 (ora italiana), nuova · vento 7.4 kn, raffica 10.9 kn, dir 169.0° · coda 25 punti di dettaglio + 61 ore · ritardo 0 min
2026-08-04 13:24:08 UTC  OK  misura 2026-08-04 15:23:41 (ora italiana), nuova · vento 10.1 kn, raffica 11.9 kn, dir 193.0° · coda 25 punti di dettaglio + 62 ore · ritardo 0 min
